trip_id,date,time,day_of_week,is_weekend,source,destination,distance_km,travel_time_min,avg_speed,road_type,vehicle_type,traffic_level
1,2016-03-18,17,4,0,"40.7359,-73.9825","40.7739,-73.8707",10.321569033129071,29.866666666666667,20.73529493262537,city,bus,Medium
2,2016-06-04,23,5,1,"40.8026,-73.9338","40.7426,-73.9921",8.28332221799865,22.266666666666666,22.320329329936484,city,car,Medium
3,2016-01-03,19,6,1,"40.7677,-73.962","40.773,-73.9586",0.6552040392580935,2.05,19.17670358804176,city,bike,Medium
4,2016-05-17,0,1,0,"40.7332,-73.9865","40.744,-73.9796",1.33421388646223,3.15,25.41359783737581,city,car,Low
5,2016-02-10,17,2,0,"40.7973,-73.9723","40.7824,-73.9825",1.8661128366104174,48.516666666666666,2.307800141462557,city,car,High
6,2016-03-06,11,6,1,"40.7348,-73.991","40.7634,-73.9742",3.4808509947271435,14.2,14.707821104480889,city,car,Medium
7,2016-01-17,4,6,1,"40.7332,-74.0063","40.7109,-73.9519",5.212075438691891,18.4,16.99589816964747,city,bus,Medium
8,2016-05-23,12,0,0,"40.7932,-73.9671","40.7896,-73.9678",0.4046160633096647,1.5833333333333333,15.332819241208346,city,bike,Medium
9,2016-02-27,15,5,1,"40.7559,-73.9722","40.757,-73.9823",0.8594631383009101,4.983333333333333,10.348051163489218,city,bike,Medium
10,2016-05-24,18,1,0,"40.8046,-73.9665","40.7608,-73.9765",4.942578855925485,26.566666666666666,11.162662409869352,city,car,Medium
11,2016-06-29,0,2,0,"40.753,-73.9856","40.7501,-73.991",0.5575766567116869,1.5833333333333333,21.12922067539024,city,bike,Medium
12,2016-04-20,12,2,0,"40.7457,-73.9822","40.7111,-74.0033",4.238312561359703,14.533333333333333,17.49762066616391,city,bus,Medium
13,2016-04-15,23,4,0,"40.741,-73.9899","40.7513,-73.9775",1.5501378595633815,5.75,16.175351578052673,city,bus,Medium
14,2016-04-05,18,1,0,"40.7405,-74.0082","40.7123,-73.9899",3.4943726210505517,25.933333333333334,8.084666732507703,city,car,High
15,2016-04-02,20,5,1,"40.755,-73.9948","40.7453,-73.9965",1.0880557215684425,8.266666666666667,7.897178624287082,city,car,High
16,2016-03-24,6,3,0,"40.7409,-73.9788","40.7644,-73.9561",3.2379568748475536,7.7,25.2308327910199,city,car,Low
17,2016-05-30,14,0,0,"40.706,-74.0127","40.7149,-73.9911",2.0721957340911623,14.75,8.429270782743712,city,bike,High
18,2016-01-27,23,2,0,"40.7476,-73.9853","40.7801,-73.9575",4.305989183284074,13.933333333333334,18.54253715289793,city,bus,Medium
19,2016-04-09,19,5,1,"40.7285,-74.0044","40.746,-73.9906",2.2668124786279886,14.4,9.445051994283284,city,car,High
20,2016-06-11,12,5,1,"40.7421,-73.9747","40.7795,-73.9621",4.291956368561225,12.483333333333333,20.62889576344514,city,bike,Medium
21,2016-06-28,8,1,0,"40.7525,-73.9755","40.7415,-73.9752",1.2234052513407512,5.2,14.116214438547129,city,bus,Medium
22,2016-02-24,7,2,0,"40.7639,-73.9889","40.7553,-73.9845",1.0255740633932204,3.9,15.778062513741853,city,bike,Medium
23,2016-01-22,9,4,0,"40.7856,-73.9697","40.7793,-73.9627",0.9154785842702516,3.5,15.693918587490028,city,bus,Medium
